ts,sIP,dIP,udp_sPort,udp_dPort,ip_proto,ip_len,chunk_index
1651792635.381805,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381805,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381838,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381875,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381875,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381875,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.381875,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384268,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384272,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384272,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384376,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384376,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384376,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384376,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384377,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384377,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384377,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384377,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384405,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384464,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384464,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384464,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384464,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384465,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384465,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384465,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384465,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384513,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384514,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384514,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.384514,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.385617,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.385682,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.385682,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.385682,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.385682,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.385682,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.38571,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.38571,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387822,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387878,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387879,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387917,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387917,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387917,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387917,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387948,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
